1415670_at	Copg1
1415671_at	Atp6v0d1
1415672_at	Golga7
1415673_at	Psph
1415674_a_at	Trappc4
1415675_at	Dpm2
1415676_a_at	Psmb5
1415677_at	Dhrs1
1415678_at	Ppm1a
1415679_at	Psenen
1415680_at	Anapc1
1415681_at	Mrpl43
1415682_at	Xpo7
1415683_at	Nmt1
1415684_at	Atg5
1415685_at	Mtif2
1415686_at	Rab14
1415687_a_at	Psap
1415688_at	Ube2g1
1415689_s_at	Zkscan3
1415690_at	Mrpl27
1415691_at	Dlg1
1415692_s_at	Canx
1415693_at	Derl1
1415694_at	Wars
1415695_at	Psma1
1415696_at	Sar1a
1415697_at	G3bp2
1415698_at	Golm1
1415699_a_at	Gps1
1415700_a_at	Ssr3
1415701_x_at	Gm9794 
1415702_a_at	Ctbp1
1415703_at	Huwe1
1415704_a_at	Cdv3
1415705_at	Smim7
1415706_at	Copa
1415707_at	Anapc2
1415708_at	Tug1
1415709_s_at	Gbf1
1415710_at	Cox18
1415711_at	Arfgef1
1415712_at	Zranb1
1415713_a_at	Ddx24
1415714_a_at	Snrnp27
1415715_at	Tmem129
1415716_a_at	Rps27 
1415717_at	Rnf220
1415718_at	Sap30l
1415719_s_at	Armc1
1415720_s_at	Mad2l1bp
1415721_a_at	Naa60
1415722_a_at	Vta1
1415723_at	Eif5 
1415724_a_at	Cdc42
1415725_at	Rrn3
1415726_at	Ankrd17
1415727_at	Apoa1bp
1415728_at	Pabpn1
1415729_at	Pdpk1
1415730_at	Cpsf7
1415731_at	Angel2
1415732_at	Abhd16a
1415733_a_at	Gm8069 
1415734_at	Rab7
1415735_at	Ddb1
1415736_at	Pfdn5
1415737_at	Rfk
1415738_at	Txndc12
1415739_at	Rbm42
1415740_at	Psmc5
1415741_at	Tmem165
1415742_at	Aup1
1415743_at	Hdac5
1415744_at	Pfdn6
1415745_a_at	Dscr3
1415746_at	Cic
1415747_s_at	Riok3
1415748_a_at	Dctn5
1415749_a_at	Rragc
1415750_at	Tbl3
1415751_at	Hp1bp3
1415752_at	BC031181 
1415753_at	Abhd17a
1415754_at	Polr2f
1415755_a_at	Ube2v1
1415756_a_at	Snapin
1415757_at	Gbf1
1415758_at	Fryl
1415759_a_at	Lamtor5
1415760_s_at	Atox1
1415761_at	Mrpl52
1415762_x_at	Mrpl52
1415763_a_at	Tmem234
1415764_at	Zbed6 
1415765_at	Hnrnpul2
1415766_at	Sec22b
1415767_at	Ythdf1
1415768_a_at	Ube2r2
1415769_at	Itch
1415770_at	Wdr6
1415771_at	Ncl
1415772_at	Ncl
1415773_at	Ncl
1415774_at	Elp2
1415775_at	Rbbp7
1415776_at	Aldh3a2
1415777_at	Pnliprp1
1415778_at	Morf4l2
1415779_s_at	Actg1
1415780_a_at	Armcx2
1415781_a_at	LOC102636299 
1415782_at	Sumo2
1415783_at	Vps35
1415784_at	Vps35
1415785_a_at	Cct8
1415786_at	Pgc
1415787_at	Ganab
1415788_at	Ublcp1
1415789_a_at	Ublcp1
1415790_at	Ublcp1
1415791_at	Rnf34
1415792_at	Rbck1
1415793_at	Pnpo
1415794_a_at	Spin1
1415795_at	Spin1
1415796_at	Dazap2
1415797_at	Ddr1
1415798_at	Ddr1
1415799_at	Wbp11
1415800_at	Gja1
1415801_at	Gja1
1415802_at	Slc16a1
1415803_at	Cx3cl1
1415804_at	Cx3cl1
1415805_at	Clps
1415806_at	Plat
1415807_s_at	Srsf2
1415808_at	Tpbpa
1415809_at	Tpbpa
1415810_at	Uhrf1
1415811_at	Uhrf1
1415812_at	Gsn
1415813_at	Api5
1415814_at	Atp6v1b2
1415815_at	Trim27
1415816_at	Cct7
1415817_s_at	Cct7
1415818_at	Anxa6
1415819_a_at	Ppp2r1a
1415820_x_at	Nono
1415821_at	Nptn
1415822_at	Scd2
1415823_at	Scd2
1415824_at	Scd2
1415825_s_at	Csnk1d
1415826_at	Atp6v1h
1415827_a_at	Serp1
1415828_a_at	Serp1
1415829_at	Lbr
1415830_at	Orc5
1415831_at	Psmd2
1415832_at	Agtr2
1415833_x_at	Rps29
1415834_at	Dusp6
1415835_at	Prl3b1
1415836_at	Aldh18a1
1415837_at	Klk1
1415838_at	Serinc1
1415839_a_at	LOC102643093 
1415840_at	Elovl5
1415841_at	Dync1i2
1415842_at	Mlst8
1415843_at	Mlst8
1415844_at	Syt4
1415845_at	Syt4
1415846_a_at	Ldhc
1415847_at	Ldhc
1415848_at	Prl3d1
1415849_s_at	Stmn1
1415850_at	Rasa3
1415851_a_at	Gm15210 
1415852_at	Gm15210 
1415853_at	Def8
1415854_at	Kitl
1415855_at	Kitl
1415856_at	Emb
1415857_at	Emb
1415858_at	Eif3c
1415859_at	Eif3c
1415860_at	Kpna2
1415861_at	Tyrp1
1415862_at	Tyrp1
1415863_at	Eif4g2
1415864_at	Bpgm
1415865_s_at	Bpgm
1415866_at	Unc45a
1415867_at	Cct4
1415868_at	Cct4
1415869_a_at	Trim28
1415870_at	Calu
1415871_at	Tgfbi
1415872_at	Hnrnph1
1415873_a_at	Actr1a
1415874_at	Spry1
1415875_at	3010003L21Rik
1415876_a_at	LOC102642963 
1415877_at	Dpysl3
1415878_at	Rrm1
1415879_a_at	Rplp2
1415880_a_at	Lamp1
1415881_at	Ghitm
1415882_at	Ghitm
1415883_a_at	Cela3b
1415884_at	Cela3b
1415885_at	Chgb
1415886_at	Sh2d3c
1415887_at	Tfg
1415888_at	Hdgf
1415889_a_at	Hsp90b1
1415890_at	Papss1
1415891_at	Suclg1
1415892_at	Sgpl1
1415893_at	Sgpl1
1415894_at	Enpp2
1415895_at	Snrpn 
1415896_x_at	Snrpn 
1415897_a_at	Mgst1
1415898_at	Mgst1
1415899_at	Junb
1415900_a_at	Kit
1415901_at	Plod3
1415902_at	Aldh7a1
1415903_at	Slc38a1
1415904_at	Lpl
1415905_at	Reg1
1415906_at	Tmsb4x
1415907_at	Ccnd3
1415908_at	Tspyl1
1415909_at	Stip1
1415910_s_at	Ciapin1
1415911_at	Impact
1415912_a_at	LOC102642137 
1415913_at	LOC102642137 
1415914_at	Hnrnpab
1415915_at	Ddx1
1415916_a_at	Mthfd1
1415917_at	Mthfd1
1415918_a_at	Tpi1
1415919_at	Npdc1
1415920_at	Cstf2t
1415921_a_at	Tnfrsf19
1415922_s_at	Marcksl1
1415923_at	Ndn
1415924_at	Tnp1
1415925_a_at	Nup62
1415926_at	Nup62
1415927_at	Actc1
1415928_a_at	Map1lc3b
1415929_at	Map1lc3b
1415930_a_at	Map1lc3b
1415931_at	Igf2
1415932_x_at	Atp9a
1415933_a_at	Cox5a
1415934_at	Cops8
1415935_at	Smoc2
1415936_at	Bcar3
1415937_s_at	Pdcd6ip
1415938_at	Spink1
1415939_at	Fmod
1415940_at	Zfand2a
1415941_s_at	Zfand2a
1415942_at	Gm5621 
1415943_at	Sdc1
1415944_at	Sdc1
1415945_at	Mcm5
1415946_at	Pigq
1415947_at	Creg1
1415948_at	Creg1
1415949_at	Cpe
1415950_a_at	Pebp1
1415951_at	Fkbp10
1415952_at	Mark2
1415953_s_at	Mark2
1415954_at	Try4 
1415955_x_at	Prm1
1415956_a_at	Cdk16
1415957_a_at	Rrp1
1415958_at	Slc2a4
1415959_at	Slc2a4
1415960_at	Mpo
1415961_at	Itm2c
1415962_at	Eif3h
1415963_at	Hnrnph2
1415964_at	Scd1
1415965_at	Scd1
1415966_a_at	Ndufv1
1415967_at	Ndufv1
1415968_a_at	Kap
1415969_s_at	Kap
1415970_at	Cox6c
1415971_at	Marcks
1415972_at	Marcks
1415973_at	Marcks
1415974_at	Map2k2
1415975_at	Carhsp1
1415976_a_at	Carhsp1
1415977_at	Isyna1
1415978_at	Tubb3
1415979_x_at	Rpl7
1415980_at	Atp5g2 
1415981_at	Herpud2
1415982_at	Herpud2
1415983_at	Lcp1
1415984_at	Acadm
1415985_at	Sf3b3
1415986_at	Clcn4
1415987_at	Hdlbp
1415988_at	Hdlbp
1415989_at	Vcam1
1415990_at	Vdac2
1415991_a_at	Klhdc3
1415992_at	Pigo
1415993_at	Sqle
1415994_at	Cyp2e1
1415995_at	Casp6
1415996_at	Txnip
1415997_at	Txnip
1415998_at	Vdac1
1415999_at	Hey1
1416000_a_at	Prdx1
1416001_a_at	Cotl1
1416002_x_at	Cotl1
1416003_at	Cldn11
1416004_at	Ywhah
1416005_at	Psmc1
1416006_at	Mdk
1416007_at	Satb1
1416008_at	Satb1
1416009_at	Tspan3
1416010_a_at	Ehd1
1416011_x_at	Ehd1
1416012_at	Ehd1
1416013_at	Pld3
1416014_at	Abce1
1416015_s_at	Abce1
1416016_at	Tap1
1416017_at	Copg1
1416018_at	Dr1
1416019_at	Dr1
1416020_a_at	Atp5g1
1416021_a_at	Fabp5
1416022_at	Fabp5
1416023_at	Fabp3
1416024_x_at	Cct3
1416025_at	Fgg
1416026_a_at	Rpl12
1416027_at	Pdcd6
1416028_a_at	Hn1
1416029_at	Klf10
1416030_a_at	Mcm7
1416031_s_at	Mcm7
1416032_at	Tmem109
1416033_at	Tmem109
1416034_at	Cd24a
1416035_at	Hif1a
1416036_at	Fkbp1a
1416037_a_at	Cct2
1416038_at	Snd1
1416039_x_at	Cyr61
1416040_at	Lipf
1416041_at	Sgk1
1416042_s_at	Nasp
1416043_at	Nasp
1416044_at	Flii
1416045_a_at	Smarcb1
1416046_a_at	Fuca2
1416047_at	Fuca2
1416048_at	Phc2
1416049_at	Gldc
1416050_a_at	Scarb1
1416051_at	C2
1416052_at	Prps1
1416053_at	Lrrn1
1416054_at	Rps5
1416055_at	Amy2a2 
1416056_a_at	Ndufb11
1416057_at	Ndufb11
1416058_s_at	Atp5c1
1416059_at	Sec23b
1416060_at	Tbc1d15
1416061_at	Tbc1d15
1416062_at	Tbc1d15
1416063_x_at	Ceacam11
1416064_a_at	Hspa5
1416065_a_at	Ankrd10
1416066_at	Cd9
1416067_at	Ifrd1
1416068_at	Kars
1416069_at	Pfkp
1416070_a_at	Ddx18
1416071_at	Ddx18
1416072_at	Cd34
1416073_a_at	Nup85
1416074_a_at	Gm10051 
1416075_at	Sav1
1416076_at	Ccnb1 
1416077_at	Adm
1416078_s_at	Raf1
1416079_a_at	Arpc1a
1416080_at	Adam15
1416081_at	Smad1
1416082_at	Rab1a
1416083_at	Zfand5
1416084_at	Zfand5
1416085_s_at	Zfand5
1416086_at	Tpst2
1416087_at	Ap1s1
1416088_a_at	LOC102642592 
1416089_at	Rps15
1416090_at	Pdhb
1416091_at	Map4
1416092_a_at	Map4
1416093_a_at	Mrpl20
1416094_at	Adam9
1416095_x_at	Sarnp
1416096_at	Vipas39
1416097_at	Lrrc4
1416098_at	Syngr3
1416099_at	Rpl27
1416100_at	Eif3d
1416101_a_at	Hist1h1c
1416102_at	Ywhaz
1416103_at	Ywhaz
1416104_at	Mpdu1
1416105_at	Nnt
1416106_at	Kti12
1416107_at	Nsg2
1416108_a_at	Tmed3
1416109_at	Fuca1
1416110_at	Slc35a4
1416111_at	Cd83
1416112_at	Cox8a
1416113_at	Fkbp8
1416114_at	Sparcl1
1416115_at	Orc3
1416116_at	Orc3
1416117_at	Orc3
1416118_at	Trim59
1416119_at	Txn1
1416120_at	Rrm2
1416121_at	Lox
1416122_at	Ccnd2
1416123_at	Ccnd2
1416124_at	Ccnd2
1416125_at	Fkbp5
1416126_at	Polr1b
1416127_a_at	Dnpep
1416128_at	Tuba1c
1416129_at	Errfi1
1416130_at	Prnp
1416131_s_at	Efr3a
1416132_at	Efr3a
1416133_at	Efr3a
1416134_at	Aplp1
1416135_at	Apex1
1416136_at	Mmp2
1416137_at	Anxa7
1416138_at	Anxa7
1416139_at	Reg2
1416140_a_at	Dhx30
1416141_a_at	LOC105244208 
1416142_at	Rps6
1416143_at	Atp5j
1416144_a_at	Dhx15
1416145_at	Dhx15
1416146_at	Hspa4
1416147_at	Hspa4
1416148_at	Laptm4b
1416149_at	Olig1
1416150_a_at	Srsf3
1416151_at	Srsf3
1416152_a_at	Srsf3
1416153_at	Srp54a 
1416154_at	Srp54a 
1416155_at	Hmgb3
1416156_at	Vcl
1416157_at	Vcl
1416158_at	Nr2f2
1416159_at	Nr2f2
1416160_at	Nr2f2
1416161_at	Rad21
1416162_at	Rad21
1416163_at	Cops4
1416164_at	Fbln5
1416165_at	Rab31
1416166_a_at	Prdx4
1416167_at	Prdx4
1416168_at	Serpinf1
1416169_at	Tpbpb
1416170_at	Trap1
1416171_at	Kansl2
1416172_at	Pes1
1416173_at	Pes1
1416174_at	Rbbp9
1416175_a_at	Vdac3
1416176_at	Gm21596 
1416177_at	Rbmxl1
1416178_a_at	Plekhb1
1416179_a_at	Rdx
1416180_a_at	Rdx
1416181_at	Mesdc2
1416182_at	Apba3
1416183_a_at	Ldhb
1416184_s_at	Hmga1 
1416185_a_at	Adh5
1416186_at	Pnrc2
1416187_s_at	Pnrc2
1416188_at	Gm2a
1416189_a_at	Sec61a1
1416190_a_at	Sec61a1
1416191_at	Sec61a1
1416192_at	Napa
1416193_at	Car1
1416194_at	Cyp4b1
1416195_at	Inpp5k
1416196_at	LOC102642689 
1416197_at	Snrpc
1416198_at	Nelfcd
1416199_at	Kifc3
1416200_at	Il33
1416201_at	Crk
1416202_at	Phb2
1416203_at	Aqp1
1416204_at	Gpd1
1416205_at	Glb1
1416206_at	Sipa1
1416207_at	Taz
1416208_at	Usp14
1416209_at	Glud1
1416210_at	Imp3
1416211_a_at	Ptn
1416212_at	Magoh
1416213_x_at	Surf4
1416214_at	Mcm4
1416215_at	Gosr1
1416216_at	Reps1
1416217_a_at	Rpl37a
1416218_x_at	Rpl37a
1416219_at	Rpl19
1416220_at	Spcs1
1416221_at	Fstl1
1416222_at	Nsdhl
1416223_at	Sh3bp5l
1416224_at	Zbtb17
1416225_at	Adh1
1416226_at	Arpc1b
1416227_at	Arpc1b
1416228_at	Pin1
1416229_at	Rfk
1416230_at	Rfk
1416231_at	Vac14
1416232_at	Olig2
1416233_at	Eif3i
1416234_at	Lrrc59
1416235_at	Lrrc59
1416236_a_at	Mpzl2
1416237_at	Mpzl2
1416238_at	Tie1
1416239_at	Ass1
1416240_at	Psmb7
1416241_at	Sec13
1416242_at	Klhl13
1416243_a_at	Rpl35
1416244_a_at	Cnbp
1416245_at	Aurkaip1
1416246_a_at	Coro1a
1416247_at	Dctn3
1416248_at	Nadk
1416249_at	Nadk
1416250_at	Btg2
1416251_at	Mcm6
1416252_at	Stk38
1416253_at	Cdkn2d
1416254_a_at	Vps16
1416255_at	Gja4
1416256_a_at	Tubb5
1416257_at	Capn2
1416258_at	Tk1
1416259_at	Pex12
1416260_a_at	Snx1
1416261_at	Tmem19
1416262_at	Tmem19
1416263_at	Abcb9
1416264_at	Abcb9
1416265_at	Capn10
1416266_at	Pdyn
1416267_at	Scoc
1416268_at	Ets2
1416269_at	Atp5j2
1416270_at	Polr2g
1416271_at	Perp
1416272_at	Lamtor3
1416273_at	Tnfaip2
1416274_at	Ctns
1416275_at	Slc26a6
1416276_a_at	Rps4x
1416277_a_at	Rplp1
1416278_a_at	Atp5o 
1416279_at	Ap1b1
1416280_at	Uba2
1416281_at	Wdr45b
1416282_at	Psmc3
1416283_at	Gart
1416284_at	Mrpl28
1416285_at	Ndufc1
1416286_at	Rgs4
1416287_at	Rgs4
1416288_at	Dnaja1
1416289_at	Plod1
1416290_a_at	Psmc4
1416291_at	Psmc4
1416292_at	Prdx3
1416293_at	Nfib
1416294_at	Clk2-scamp3 
1416295_a_at	Il2rg
1416296_at	Il2rg
1416297_s_at	Reg3b
1416298_at	Mmp9
1416299_at	Shcbp1
1416300_a_at	LOC102641364 
1416301_a_at	Ebf1
1416302_at	Ebf1
1416303_at	Litaf
1416304_at	Litaf
1416305_at	Sh3bp4
1416306_at	Clca1
1416307_at	Ap1m1
1416308_at	Ugdh
1416309_at	Nusap1
1416310_at	Nusap1
1416311_s_at	Tuba3a 
1416312_at	Rars
1416313_at	Mllt11
1416314_at	Mllt11
1416315_at	Abhd4
1416316_at	Slc27a2
1416317_a_at	Stambp
1416318_at	Serpinb1a
1416319_at	Adk
1416320_at	Sec22a
1416321_s_at	Prelp
1416322_at	Prelp
1416323_at	Kctd20
1416324_s_at	Kctd20
1416325_at	Crisp1
1416326_at	Crip1
1416327_at	Ufc1
1416328_a_at	Atp6v0e
1416329_at	Cyfip1
1416330_at	Cd81
1416331_a_at	Nfe2l1
